id,symbol,pairSymbol,contractAddress,pairContractAddress,decimals,pairDecimals,chain,modalCexToDex,modalDexToCex,Binance,MEXC,Gateio,INDODAX,KyberSwap,Matcha,OKXDEX,ODOS,ParaSwap,Lifi,isActive
234,USD1,USDT,0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
235,USDC,USDT,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
236,USDP,USDT,0xb3c11196a4f3b1da7c23d9fb0a3dde9c6340934f,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,100,100,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
237,VALUE,ETH,0x49E833337ECe7aFE375e44F4E3e8481029218E5c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,50,50,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
238,VGX,ETH,0x3C4B6E6e1eA3D4863700D7F76b36B7f3D3f13E3d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,8,18,Ethereum,70,60,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
239,VIC,ETH,0x05D3606d5c81EB9b7B18530995eC9B29da05FaBa,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,250,200,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
240,VINU,ETH,0xAFCdd4f666c84Fed1d8BD825aA762e3714F652c9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,70,70,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
241,VOXEL,USDT,0xd0258a3fD00f38aa8090dfee343f10A9D4d30D3F,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,18,6,Polygon,500,450,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
242,WBETH,USDT,0xa2e3356610840701bdf5611a53974510ae27e2e1,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
243,WELL3,ETH,0x63696Fc66795B51d02c1590b536484A41fbDDF9a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,50,50,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
244,WIN,USDT,0xaef0d72a118ce24fee3cd1d43d383897d05b4e99,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
245,WOO,USDT,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
246,WORK,ETH,0x8888888837F84a7A82668E0320AC454f5945d0b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,90,70,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
247,WOZX,ETH,0x34950Ff2b487d9E5282c5aB342d08A2f712eb79F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,300,350,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
248,XEC,USDT,0x0ef2e7602add1733bfdb17ac3094d0421b502ca3,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,100,100,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
249,XLM,USDT,0x43c934a845205f0b514417d757d7235b8f53f1b9,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,50,40,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
250,XRP,USDT,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
251,XTZ,USDT,0x16939ef78684453bfdfb47825f8a5f714f12623a,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
252,XUSD,USDT,0xf81ac2e1a0373dde1bce01e2fe694a9b7e3bfcb9,0x55d398326f99059fF775485246999027B3197955,6,18,BSC,10000,10000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
253,XVS,USDT,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
254,XVS,UNI,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,18,18,BSC,1300,1000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
255,XZK,ETH,0xe8fC52b1bb3a40fd8889C0f8f75879676310dDf0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,100,100,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
256,ZEC,USDT,0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,150,150,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
257,ZIL,USDT,0xb86abcb37c3a4b64f74f59301aff131a1becc787,0x55d398326f99059fF775485246999027B3197955,12,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
258,ZKL,ETH,0xfC385A1dF85660a7e041423DB512f779070FCede,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,100,100,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
259,ZRO,USDT,0x6985884c4392d348587b19cb9eaaf157f13271cd,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,1200,1000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
